,Title,Rating,directors,actors,voter_count,years,link
201,"Monsters, Inc.",8.1,Pete Docter ,"[' Billy Crystal', ' John Goodman']","920,738",2001,https://www.imdb.com/title/tt0198781/
202,Room,8.1,Lenny Abrahamson ,"[' Brie Larson', ' Jacob Tremblay']","426,883",2015,https://www.imdb.com/title/tt3170832/
203,Jaws,8.1,Steven Spielberg ,"[' Roy Scheider', ' Robert Shaw']","615,894",1975,https://www.imdb.com/title/tt0073195/
204,Dead Poets Society,8.1,Peter Weir ,"[' Robin Williams', ' Robert Sean Leonard']","501,092",1989,https://www.imdb.com/title/tt0097165/
205,The Big Lebowski,8.1,Joel Coen ,"[' Jeff Bridges', ' John Goodman']","818,147",1998,https://www.imdb.com/title/tt0118715/
206,Tokyo Story,8.1,Yasujirô Ozu ,"[' Chishû Ryû', ' Chieko Higashiyama']","63,197",1953,https://www.imdb.com/title/tt0046438/
207,The Passion of Joan of Arc,8.1,Carl Theodor Dreyer ,"[' Maria Falconetti', ' Eugene Silvain']","56,435",1928,https://www.imdb.com/title/tt0019254/
208,Ford v Ferrari,8.0,James Mangold ,"[' Matt Damon', ' Christian Bale']","406,445",2019,https://www.imdb.com/title/tt1950186/
209,Hotel Rwanda,8.0,Terry George ,"[' Don Cheadle', ' Sophie Okonedo']","359,408",2004,https://www.imdb.com/title/tt0395169/
210,Rocky,8.0,John G. Avildsen ,"[' Sylvester Stallone', ' Talia Shire']","587,673",1976,https://www.imdb.com/title/tt0075148/
